CPU(J),RAM(J),%CPU,RAM(kB)
3.23,0.33,99.9,4763032
3.22,0.33,0,4762808
3.29,0.33,100,4762792
3.29,0.36,100,4762304
3.27,0.32,100,4762752
3.23,0.39,100,4762636
3.24,0.34,99.9,4761884
3.21,0.32,100,4762504
3.27,0.34,99.9,4762768
3.34,0.36,100,4762932
3.38,0.32,99.9,4761544
3.39,0.32,100,4762152
3.22,0.32,100,4762652
3.26,0.33,100,4761112
3.30,0.33,0,4760832
3.27,0.33,99.9,4762512
3.29,0.34,100,4761916
3.22,0.33,100,4763412
3.29,0.39,100,4762292
3.20,0.34,100,4762656
3.25,0.32,100.1,4762736
3.30,0.34,0,4762132
3.29,0.32,100,4761548
3.39,0.37,100,4762248
3.41,0.34,99.9,4762008
3.26,0.33,100,4762248
3.22,0.32,100,4762116
3.29,0.32,100,4761704
3.28,0.36,100,4762372
3.26,0.35,100,4762200
3.22,0.34,99.9,4761968
3.27,0.39,100,4762224
3.21,0.32,100,4762212
3.20,0.33,100,4762216
3.27,0.37,100,4762276
3.21,0.31,100,4762376
3.39,0.35,100.1,4761964
3.35,0.35,99.9,4761588
3.21,0.32,100,4762416
3.24,0.33,100,4761068
3.26,0.32,100,4761288
3.22,0.37,100,4761100
3.28,0.33,100,4760688
3.21,0.33,100,4760836
3.23,0.33,100,4761108
3.30,0.38,100,4761960
3.29,0.33,100,4761828
3.20,0.34,100,4761768
3.31,0.37,100,4762376
3.38,0.33,99.9,4761348
3.39,0.37,100,4762124
3.24,0.37,100,4762300
3.23,0.31,100.1,4762208
3.28,0.32,99.9,4762220
3.36,0.36,99.9,4762380
3.22,0.33,100,4761708
3.23,0.32,100,4762284
3.24,0.33,100,4761616
3.29,0.36,100,4761628
3.25,0.33,100,4762224
3.23,0.34,100,4762156
3.23,0.31,100,4761704
3.46,0.33,99.9,4761872
3.39,0.33,100,4762044
3.22,0.35,100,4762636
3.28,0.33,100,4762180
3.26,0.32,100,4762436
3.26,0.35,100.1,4761816
3.20,0.35,100,4761776
3.20,0.31,99.9,4761492
3.26,0.32,100,4761512
3.34,0.39,100,4761860
3.23,0.32,100,4761580
3.25,0.33,99.9,4761472
3.22,0.33,100,4761768
3.30,0.33,100,4761812
3.42,0.36,100,4761908
3.42,0.38,100,4761160
3.29,0.32,100,4761720
3.31,0.33,100,4753364
3.21,0.36,100,4653240
3.29,0.40,99.9,4653516
3.20,0.37,100,4654240
3.21,0.35,100,4653748
3.34,0.37,100,4794508
3.29,0.45,100,4760780
3.22,0.48,100,4760920
3.26,0.32,100,4760676
3.21,0.35,100.1,4761168
3.26,0.34,99.9,4760920
3.37,0.35,100,4761180
3.43,0.33,100,4760704
3.31,0.34,100,4761000
3.19,0.37,99.9,4761560
3.22,0.32,100,4761552
3.24,0.31,99.9,4760572
3.24,0.34,100,4760704
3.22,0.33,100,4761372
3.26,0.32,100.1,4761736
3.25,0.34,100,4760752
3.24,0.31,99.9,4761280
3.24,0.32,100,4761404
3.21,0.36,100,4760784
3.26,0.33,100,4761848
3.42,0.35,99.9,4760228
3.39,0.34,100,4760728
3.22,0.38,100,4760532
3.22,0.34,100,4759740
3.22,0.31,100,4759112
3.22,0.32,100.1,4759076
3.22,0.35,100,4759244
3.21,0.31,100,4761020
3.22,0.31,99.9,4760772
3.30,0.39,100,4760292
3.23,0.32,100,4760276
3.22,0.32,100,4760488
3.21,0.31,99.9,4760580
3.28,0.37,100,4760940
3.46,0.38,100,4760092
3.41,0.34,100,4760308
3.26,0.42,100,4760248
3.23,0.32,100,4760788
3.24,0.32,100,4759852
3.35,0.34,100,4759044
3.25,0.35,100,4759352
3.25,0.32,100,4758936
3.25,0.32,99.9,4759060
3.32,0.36,100,4759336
3.23,0.33,100,4759100
3.27,0.32,100,4759424
3.27,0.35,100,4759516
3.41,0.44,100,4759804
3.41,0.34,100,4759192
3.28,0.33,100,4759168
3.21,0.38,100,4759184
3.21,0.32,100,4759928
3.23,0.35,100,4760672
3.33,0.37,100,4760752
3.24,0.32,100,4760748
3.21,0.36,100,4760656
3.29,0.35,100,4760588
3.22,0.34,99.9,4760144
3.23,0.32,99.9,4760316
3.26,0.32,100,4760448
3.34,0.34,100,4760116
3.36,0.35,99.9,4760348
3.26,0.32,99.9,4760332
3.25,0.36,99.9,4760596
3.22,0.33,100,4760216
3.25,0.40,100,4760712
3.18,0.38,100,4760084
3.21,0.32,100,4759968
3.27,0.35,100,4760156
3.30,0.35,100,4760380
3.27,0.51,100,4674004
3.23,0.35,100,4683684
3.29,0.36,100,4684288
3.42,0.35,99.9,4683936
3.39,0.32,100,4683936
3.22,0.37,100,4684352
3.30,0.35,100,4684188
3.22,0.34,100,4684376
3.43,0.39,100,4684104
3.20,0.35,100,4683724
3.25,0.33,100,4684212
3.21,0.37,99.9,4684320
3.30,0.33,100,4683920
3.21,0.31,100,4683848
3.21,0.32,100,4683708
3.28,0.35,100.1,4683824
3.39,0.39,99.9,4683712
3.39,0.32,100,4683856
3.37,0.38,100.1,4683428
3.22,0.32,100,4683568
3.30,0.33,100,4683888
3.29,0.33,100,4684276
3.22,0.34,100,4683692
3.21,0.34,100,4683928
3.21,0.34,100,4684088
3.30,0.39,100,4684064
3.21,0.31,100,4684084
3.25,0.32,99.9,4683928
3.22,0.37,100,4683464
3.42,0.34,100,4683720
3.36,0.33,0,4683676
3.21,0.32,100,4683868
3.26,0.38,100,4683364
3.30,0.33,100,4683288
3.28,0.35,100,4683240
3.25,0.35,99.9,4683360
3.29,0.33,100,4683272
3.30,0.36,100,4683768
3.22,0.33,100,4683104
3.23,0.33,99.9,4683276
3.28,0.33,100,4683644
3.21,0.35,99.9,4683536
3.27,0.39,100,4683540
3.40,0.34,100,4682952
3.37,0.35,100,4683472
3.28,0.33,100,4683040
3.21,0.32,100,4682876
3.21,0.32,99.9,4683296
3.36,0.37,99.9,4682916
3.24,0.33,100,4683428
3.21,0.32,100,4683024
3.25,0.34,100,4683140
3.28,0.35,100,4683396
3.23,0.35,100,4683412
3.30,0.34,99.9,4682940
3.20,0.34,100,4682568
3.32,0.31,100,4682576
3.48,0.37,100,4683356
3.36,0.41,100,4682824
3.28,0.35,100,4682676
3.22,0.31,100,4682256
3.21,0.32,100,4681964
3.20,0.33,100,4682708
3.22,0.34,100,4682964
3.22,0.31,100,4682988
3.27,0.38,100.1,4682344
3.26,0.37,100,4682956
3.23,0.34,100,4682616
3.21,0.35,100,4682336
3.32,0.39,100,4682088
3.40,0.34,100,4682816
3.46,0.35,100,4682440
3.28,0.35,100,4682560
3.22,0.32,100,4682100
3.30,0.35,100,4682220
3.22,0.33,99.9,4682200
3.21,0.31,100,4682080
3.25,0.32,100,4682128
3.21,0.32,100,4681800
3.27,0.36,100,4681904
3.26,0.33,100,4682248
3.22,0.34,100,4681964
3.22,0.34,100,4682088
3.30,0.36,100,4681636
3.40,0.37,100,4681872
3.37,0.33,100,4681964
3.26,0.41,100,4681952
3.21,0.32,100,4682104
3.25,0.31,100,4681292
3.32,0.38,100,4681880
3.22,0.34,99.9,4681716
3.21,0.32,100,4681712
3.22,0.32,100,4681484
3.23,0.35,100,4681692
3.22,0.35,100,4681832
3.23,0.35,99.9,4681696
3.22,0.35,100,4681816
3.38,0.34,99.9,4681648
3.45,0.34,99.9,4681080
3.34,0.34,99.9,4681756
3.21,0.38,100,4681628
3.21,0.31,100,4682484
3.32,0.33,100,4681728
3.29,0.33,99.9,4681140
3.24,0.35,100,4681568
3.25,0.31,100,4681520
3.22,0.37,100,4682016
3.27,0.34,100,4681624
3.23,0.33,100,4681404
3.22,0.32,100,4681908
3.21,0.36,100,4681140
3.36,0.34,99.9,4681552
3.45,0.34,100,4681676
3.22,0.31,100,4681728
3.20,0.35,99.9,4681288
3.25,0.33,100,4681272
3.24,0.34,99.9,4681732
3.24,0.37,100,4681476
3.29,0.33,100,4681568
3.21,0.32,100,4681696
3.31,0.33,99.9,4681904
3.31,0.33,100,4682396
3.21,0.36,100,4681748
3.31,0.34,100,4681976
3.45,0.35,99.9,4680996
3.50,0.34,99.9,4681220
3.23,0.34,100,4681856
3.23,0.33,100,4681244
3.31,0.33,100,4682080
3.26,0.35,100,4681260
3.21,0.31,100,4681216
3.21,0.32,100,4681476
3.30,0.38,100,4681492
3.26,0.33,100.1,4680992
3.21,0.31,100,4681096
3.21,0.36,100,4681360
3.33,0.36,100,4681724
3.39,0.36,100,4681036
3.41,0.36,99.9,4680604
3.21,0.36,100,4681792
3.25,0.33,100,4681632
3.23,0.32,100,4680928
3.27,0.34,100,4681400
3.22,0.32,100,4680980
3.21,0.32,100,4681212
3.31,0.39,99.2,4681748
3.25,0.32,100,4681076
3.21,0.31,99.4,4680532
3.33,0.41,100.1,4586596
3.29,0.41,100,4573152
3.35,0.37,100.1,4572628
3.37,0.37,100,4572328
3.23,0.38,100,4731772
3.31,0.40,99.9,4653092
3.22,0.46,100,4679832
3.24,0.32,100,4679612
3.22,0.31,100,4680412
3.21,0.32,100,4680604
3.28,0.37,100,4679916
3.23,0.35,100,4680404
3.42,0.36,100,4680220
3.25,0.33,100,4680660
3.23,0.33,100,4680404
3.30,0.35,100,4680436
3.41,0.32,99.9,4680068
3.52,0.35,99.9,4680292
3.24,0.32,100,4680444
3.22,0.36,100,4680832
3.27,0.35,100,4679904
3.21,0.34,100,4680016
3.33,0.33,100,4680924
3.23,0.33,0,4680064
3.24,0.35,100,4680064
3.21,0.32,99.2,4679988
3.21,0.31,100,4679824
3.21,0.32,100,4679748
3.26,0.35,99.9,4680124
3.32,0.34,99.9,4679200
3.40,0.35,100,4679740
3.36,0.39,100,4679596
3.27,0.33,100,4680064
3.22,0.32,100,4679844
